Name,Cuisines,Area,Full_Address,AverageCost,Total Reviews,Total Ratings,Cost Category,Features,Testing Features,bag_of_words
China Town,chinese,New Market Area,"61, S.N. Banerjee Road, Near Society Cinema, New Market Area, Kolkata",500,170,4.3,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese homedelivery takeaway indoorseating expensive
Trincas,"chinese, north indian, continental, beverages, desserts",Park Street Area,"17, Park Street Area, Kolkata",700,2035,4.099999999999999,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese north indian continental beverages desserts homedelivery takeaway indoorseating expensive
Aaheli - The Peerless Inn,bengali,The Peerless Inn,"The Peerless Inn 12, Jawaharlal Nehru Road, New Market Area, Kolkata",4000,719,0.0,expensive,homedelivery   indoorseating,homedelivery indoorseating expensive,bengali homedelivery indoorseating expensive
Red Hot Chilli Pepper,"chinese, asian",Ballygunge,"26/2, Ballygunge Circular Road, Ballygunge, Kolkata",1700,1356,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese asian homedelivery takeaway indoorseating expensive
Marco Polo,"bengali, north indian, chinese, beverages, seafood, continental, desserts",Park Street Area,"24, Park Centre Building, Park Street Area, Kolkata",1400,1892,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,bengali north indian chinese beverages seafood continental desserts homedelivery takeaway indoorseating expensive
Fung Fa,chinese,Tangra,"119/A/1, Matheshwartala Road, Tangra, Kolkata",700,238,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese homedelivery takeaway indoorseating expensive
Port 15,"north indian, continental, chinese",Sector 1,"CB-15, Sector 1, Salt Lake, Kolkata",1000,329,4.3,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian continental chinese homedelivery takeaway indoorseating expensive
SAZ- American Brasserie,"american, italian, burger, pizza, fast food, pasta, mexican, beverages",Fort Knox,"6, Abanindra Nath Thakur Sarani, 9th Floor, Ward 063, Br VII, Camac Street Area, Kolkata",1600,759,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,american italian burger pizza fast food pasta mexican beverages homedelivery takeaway indoorseating expensive
Snaptown ,"north indian, chinese, fast food, beverages",Machuabazar,"77G, Kailash Bose Street, Machuabazar, Kolkata",150,438,3.8,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,north indian chinese fast food beverages homedelivery takeaway cheapeats
Cake Point,bakery,Beliaghata,"10A, Haramohan Ghosh Lane, Beliaghata, Kolkata",400,220,4.3,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,bakery homedelivery takeaway indoorseating midrange
Express By Mavericks Cafe,"fast food, north indian, beverages, shake",Paddapukur,"32/1A, Chakraberia Road South, Paddapukur, Kolkata",400,204,4.0,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,fast food north indian beverages shake homedelivery takeaway vegonly indoorseating midrange
Celebration,"bakery, fast food",Beliaghata,"76, Hem Chandra Naskar Road, Beliaghata, Kolkata",300,39,4.0,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,bakery fast food homedelivery takeaway midrange
Bingo Cakes,"bakery, desserts",Kankurgachi,"6 D, Surah, 2nd Lane, Phoolbagan, Near Kadapara Petrol Pump, Kankurgachi, Kolkata",500,173,3.8999999999999995,expensive,homedelivery takeaway  ,homedelivery takeaway expensive,bakery desserts homedelivery takeaway expensive
Belgian Waffle Junction,"desserts, beverages",Camac Street Area,"17, Ground Floor, Monalisa Building, Camac Street Area, Kolkata",400,194,3.6000000000000005,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,desserts beverages homedelivery takeaway indoorseating midrange
Olivia's Kitchen,"continental, fast food, finger food",Jadavpur,"G/9, Bapujinagar, Jadavpur, Kolkata",350,258,4.3,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,continental fast food finger food homedelivery takeaway midrange
Cafe Na-Ru-Meg,"cafe, continental, chinese",Lake Market Area,"56A, Raja Basanta Ray Road, Lake Market Area, Kolkata",500,597,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,cafe continental chinese homedelivery takeaway indoorseating expensive
Chapter 2,"continental, steak, sandwich, desserts, beverages",Southern Avenue,"P-377, Hemanta Mukhopadhya Sarani, Southern Avenue, Kolkata",1500,632,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,continental steak sandwich desserts beverages homedelivery takeaway indoorseating expensive
Chocopassion,"bakery, desserts",Bhawanipur,"10/B, Gour Mohan Ghosh Road, Bhawanipur, Kolkata",400,254,3.6,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,bakery desserts homedelivery takeaway vegonly indoorseating midrange
The Loop Cafe & Restaurant,"north indian, chinese, fast food, italian, continental",Kankurgachi,"103/3, J. K. House, N.M Road, Kankurgachi, Kolkata",1000,182,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian chinese fast food italian continental homedelivery takeaway indoorseating expensive
Munmun's Kitchen11,"fast food, street food, north indian, chinese, beverages",Park Circus Area,"7, Circus Avenue, Park Circus Area, Kolkata",100,19,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,fast food street food north indian chinese beverages homedelivery cheapeats
Noodle Time,"chinese, momos, seafood",Park Street Area,"94A, Ripon Street, Park Street Area, Kolkata",400,4052,4.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,chinese momos seafood homedelivery takeaway indoorseating midrange
Leafy Affaire The Cafe,"salad, italian, healthy food, mexican, beverages",Park Street Area,"10 B, Sarani, Park Street Area, Kolkata",700,491,4.300000000000001,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,salad italian healthy food mexican beverages homedelivery takeaway indoorseating expensive
Mandarin Restaurant,chinese,Desapriya Park,"217, Sarat Bose Road, Desapriya Park, Kolkata",700,871,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese homedelivery takeaway indoorseating expensive
China Whites,"chinese, north indian, momos",Gariahat,"14/6, 2nd Floor, Gariahat Road, Opposite Appollo, Gariahat, Kolkata",1000,1918,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese north indian momos homedelivery takeaway indoorseating expensive
Santosh Sweets,"mishti, street food",New Alipore,"P-65/1, Block O, New Alipore, Kolkata",50,47,3.5,cheapeats,homedelivery takeaway vegonly ,homedelivery takeaway vegonly cheapeats,mishti street food homedelivery takeaway vegonly cheapeats
Chopstick,"chinese, seafood",Ballygunge,"7/3, Mandeville Garden, Near ITI, Ballygunge, Kolkata",650,1912,3.6,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese seafood homedelivery takeaway indoorseating expensive
Paris Cafe,"cafe, italian, bakery, desserts, coffee, beverages",Gariahat,"13/10A, Ground Floor, Anil Maitra Road, Gariahat, Kolkata",1000,1926,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,cafe italian bakery desserts coffee beverages homedelivery takeaway indoorseating expensive
Oceania,"north indian, chinese, mughlai",Southern Avenue,"73, Southern Avenue, Kolkata",1100,201,3.3,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian chinese mughlai homedelivery takeaway indoorseating expensive
Kaidi Kitchen,"north indian, european, oriental, italian",Camac Street Area,"4/1, 1st Floor, Abhindra Nath Thakur Sarani, Camac Street Area, Kolkata",1300,2187,3.8999999999999995,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian european oriental italian homedelivery takeaway indoorseating expensive
Crossroad Crystal,"bengali, chinese",Golpark,"129, Southern Avenue, Golpark, Kolkata",700,307,3.7,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,bengali chinese homedelivery takeaway indoorseating expensive
First Innings Multicuisine Restaurant - The Stadel,"north indian, mughlai, chinese, bengali, continental, italian, desserts",The Stadel,"Gate 3, Salt Lake Stadium, Sector 3, Salt Lake, Kolkata",1400,733,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian mughlai chinese bengali continental italian desserts homedelivery takeaway indoorseating expensive
Food King,"chinese, rolls, mangalorean",Wellesley,"90/1, Ground Floor, Muzaffar Ahmed Street, Ward 62, Wellesley, Kolkata",150,13300,3.9,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,chinese rolls mangalorean homedelivery takeaway cheapeats
Bagicha,"chinese, north indian, mughlai, bengali, kebab",Hatibagan,"25, Shyampukur Street, Hatibagan, Kolkata",600,1419,4.4,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese north indian mughlai bengali kebab homedelivery takeaway indoorseating expensive
Campari,"rolls, fast food",Gariahat,"155B, Rash Behari Avenue, Gariahat, Kolkata",100,2443,4.5,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,rolls fast food homedelivery takeaway cheapeats
Jalapenos,"italian, mexican, continental, salad",Camac Street Area,"10, Wood Street, Camac Street Area, Kolkata",1000,2746,4.0,expensive,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating expensive,italian mexican continental salad homedelivery takeaway vegonly indoorseating expensive
Express Meals,"sandwich, beverages",Tangra,"10/1/1A, Gobinda Khatick Road, Tangra, Kolkata",100,0,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,sandwich beverages homedelivery cheapeats
Kwality Wall’s Frozen Dessert and Ice Cream Shop,"ice cream, desserts",Tollygunge,"11, Ward 89, Deshpran Shasmal Road, Borough X, Tollygunge, Kolkata",100,229,4.6,cheapeats,homedelivery   ,homedelivery cheapeats,ice cream desserts homedelivery cheapeats
Aala Biryani House,"biryani, north indian",Taltala,"30, Ripon Street, Taltala, Kolkata",50,144,3.9000000000000004,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,biryani north indian homedelivery takeaway cheapeats
The Junkyard,"chinese, fast food, beverages",Shyam Bazar,"38B, Ramakanto Bose Road, Near Shyam Bazar Metro, Shyam Bazar, Kolkata",450,267,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese fast food beverages homedelivery takeaway indoorseating expensive
Giani Ice Cream,"ice cream, shake, desserts",Acropolis Mall,"TK-009, 1858/1, 3rd Floor, Rajdanga Main Road, Acropolis Mall, Kasba, Kolkata",300,0,0.0,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,ice cream shake desserts homedelivery takeaway midrange
The Royal Mint Cafe & Lounge,"north indian, chinese, fast food, desserts, beverages",Hatibagan,"8/3B, North KMC, Waor 60, Hatibagan, Kolkata",400,0,0.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,north indian chinese fast food desserts beverages homedelivery takeaway indoorseating midrange
The Food King,"chinese, momos",Beliaghata,"1/1/9, Dr Panchanan Mitra Lane, Beliaghata, Kolkata",150,0,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,chinese momos homedelivery cheapeats
The Big Burgers,"burger, sandwich, beverages, pizza, fast food",Picnic Garden,"30/2, Kustiya Masjid, Bari Lane, Picnic Garden, Kolkata",100,0,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,burger sandwich beverages pizza fast food homedelivery cheapeats
Hunger Meals,"north indian, mughlai",Jodhpur Park,"213, Jodhpur Garden, Jodhpur Park, Kolkata",100,0,0.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,north indian mughlai homedelivery takeaway cheapeats
Drishti,"north indian, chinese, south indian, desserts",Desapriya Park,"22, Chattopadhya Road, Desapriya Park, Kolkata",600,318,3.6999999999999997,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian chinese south indian desserts homedelivery takeaway indoorseating expensive
Khalsa Restaurant,"north indian, fast food, mughlai, beverages, shake",New Market Area,"14/3, Ward 63, Sudder Street, New Market Area, Kolkata",400,391,4.1,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,north indian fast food mughlai beverages shake homedelivery takeaway indoorseating midrange
The Irish House,"italian, continental",Quest Mall,"33, 5th Floor, Quest Mall, Syed Ali Amir Avenue, Ballygunge, Kolkata",1900,3948,3.8,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,italian continental homedelivery takeaway indoorseating expensive
TFO - The Factory Outlet,"italian, mexican, continental, beverages",Pantaloons,"22, 5th Floor, Westside Building, Block D, Camac Street Area, Kolkata",1200,2470,3.3,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,italian mexican continental beverages homedelivery takeaway indoorseating expensive
Ronit Dhaba,"north indian, seafood",Hatibagan,"49/3, Ramdulal Sarkar Street, Hatibagan, Kolkata",300,941,3.1999999999999997,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,north indian seafood homedelivery takeaway indoorseating midrange
Mithi's Cuisine,"chinese, fast food, rolls",Machuabazar,"183/1, Bidhan Sarani, Machuabazar, Kolkata",300,88,3.8,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,chinese fast food rolls homedelivery takeaway midrange
Chows And Rolls,"chinese, biryani",Shyam Bazar,"21A, Bhupendra Bose Avenue, Shyambazar, Hati Bagan, Shyam Bazar, Kolkata",100,328,3.7999999999999994,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,chinese biryani homedelivery takeaway cheapeats
Pancha Banjan,bengali,Hatibagan,"52, Durga Charan Mitra Street, Ward 17, Kolkata Municipal, Corporation, Hatibagan, Kolkata",100,8,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,bengali homedelivery cheapeats
New Arsalan Biryani House,biryani,Shyam Bazar,"Near Khudiram Statue, Bagh Bazar Street, Shyam Bazar, Kolkata",250,5,0.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,biryani homedelivery takeaway indoorseating midrange
Where To Go!,"cafe, chinese, north indian, beverages",Machuabazar,"51, Bidhan Sarani, Opposite Vivekananda Museum, Machuabazar, Kolkata",700,86,3.6,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,cafe chinese north indian beverages homedelivery takeaway indoorseating expensive
Dimsum Station,"north indian, chinese",Hatibagan,"108, Aurobindo Sarani, 4 Point Crossing, Near Star Theatre, Hatibagan, Kolkata",200,143,4.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,north indian chinese homedelivery takeaway indoorseating midrange
Mother Kitchen,bengali,Shobha Bazar,"5, Nather Bagan Street, Shobha Bazar, Kolkata",100,195,3.1,cheapeats,homedelivery   ,homedelivery cheapeats,bengali homedelivery cheapeats
Bonophool,"chinese, kebab, biryani, desserts",Bhawanipur,"28A, SP Mukharjee Road, Bhawanipur, Kolkata",500,129,4.199999999999999,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese kebab biryani desserts homedelivery takeaway indoorseating expensive
Tangerine,"chinese, asian, seafood, shake",Theatre Road,"2/1, Outram Street, Theatre Road Area, Theatre Road, Kolkata",1500,468,3.8999999999999995,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese asian seafood shake homedelivery takeaway indoorseating expensive
K19 All Day Dining -​ The Claridale Kolkata,"italian, north indian, oriental, bengali, beverages",Ballygunge,"17, Garcha Road, Ballygunge, Kolkata",2500,462,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,italian north indian oriental bengali beverages homedelivery takeaway indoorseating expensive
The Coffee Bean & Tea Leaf,"cafe, sandwich, fast food",Quest Mall,"33, 2nd Floor, Quest Mall, Syed Ali Amir Avenue, Ballygunge, Kolkata",600,1016,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,cafe sandwich fast food homedelivery takeaway indoorseating expensive
Adam's Kabab Shop,"rolls, kebab",Dalhousie BBD Bagh,"60, Phears Lane, Dalhousie BBD Bagh, Kolkata",100,631,3.7999999999999994,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,rolls kebab homedelivery takeaway cheapeats
The Corner Courtyard,"continental, italian, pizza, pasta, desserts",The Corner Courtyard,"92B, Sarat Bose Road, Hazra, Kolkata",1700,1533,3.6,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,continental italian pizza pasta desserts homedelivery takeaway indoorseating expensive
Naaz Snacks,fast food,Park Circus Area,"30/H/3, Linton Street, Park Circus Area, Kolkata",100,437,3.5,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,fast food homedelivery takeaway cheapeats
Ong Bong Chong,"bengali, north indian, fast food, kebab",Gariahat,"37/1, Purna Das Road, Near Triangular Park, Gariahat, Kolkata",250,1518,4.2,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,bengali north indian fast food kebab homedelivery takeaway midrange
Mr.Burger,"burger, sandwich, fast food",Shyam Bazar,"32, Bhupen Bose Avenue, Shyam Bazar, Kolkata",400,492,2.9,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,burger sandwich fast food homedelivery takeaway indoorseating midrange
Heka,"mughlai, fast food",The Stadel,"The Stadel, Salt Lake Stadium, Gate 3, Sector 3, Salt Lake, Kolkata",2300,146,0.0,expensive,homedelivery   indoorseating,homedelivery indoorseating expensive,mughlai fast food homedelivery indoorseating expensive
China Gardens,"chinese, seafood, beverages",Tangra,"51/1, Matheswartala Road, Tangra, Kolkata",600,332,3.9,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese seafood beverages homedelivery takeaway indoorseating expensive
New Empire Bar,"chinese, north indian, continental, finger food",New Market Area,"1st & 2nd Floor, 1 Humayun Place, New Market Area, Kolkata",950,586,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese north indian continental finger food homedelivery takeaway indoorseating expensive
Oasis,"chinese, north indian, continental, beverages",Park Street Area,"33, Park Street, Park Street Area, Kolkata",900,1287,4.3,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese north indian continental beverages homedelivery takeaway indoorseating expensive
China Pearl,chinese,Tangra,"55, Matheswartala Road, Tangra, Kolkata",600,265,3.6,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese homedelivery takeaway indoorseating expensive
New Palace,"biryani, north indian, chinese",Bhawanipur,"10G, S.P. Mukherjee Road, Bhawanipur, Kolkata",500,1852,3.9,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,biryani north indian chinese homedelivery takeaway indoorseating expensive
La Cioccolata - The Choco Studio,"bakery, desserts",Ballygunge,"21, Rajat Gardens, Ballygunge Park, Ballygunge, Kolkata",100,30,3.6,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bakery desserts homedelivery takeaway cheapeats
Hotel Sawood International,"north indian, biryani, chinese",Topsia,"9/1, Topsia Road Bypass, Near Ford Showroom, Topsia, Kolkata",600,144,3.7999999999999994,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian biryani chinese homedelivery takeaway indoorseating expensive
Food Point,"chinese, north indian",Tollygunge,"49, Purna Chandra Mitra Lane, Tollygunge, Kolkata",400,38,4.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,chinese north indian homedelivery takeaway indoorseating midrange
Royce' Chocolate,desserts,Quest Mall,"33, Ground Floor, Quest Mall, Syed Amir Ali Avenue, Beck Bagan, Ballygunge, Kolkata",400,83,4.3,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,desserts homedelivery takeaway midrange
Madura Shankara,south indian,Southern Avenue,"132 B, Southern Avenue, Kolkata",300,90,3.7000000000000006,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,south indian homedelivery takeaway indoorseating midrange
Frosted Summer,"fast food, beverages, chinese, bengali, north indian",Jadavpur,"3/54 B, Bijoygarh, Jadavpur, Kolkata",250,179,3.3000000000000003,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,fast food beverages chinese bengali north indian homedelivery takeaway indoorseating midrange
Turban Tadka,"north indian, chinese",Camac Street Area,"4A, 5th Floor, Life Line Nursing Home, Wood Street, Near Vardhan Market, Camac Street Area, Kolkata",150,116,3.9,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,north indian chinese homedelivery takeaway cheapeats
Cafe Coffee O Kobita,"sandwich, burger, continental, fast food, desserts, beverages",Shyam Bazar,"32, Bhupen Bose Avenue, Shyam Bazar, Kolkata",550,1262,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,sandwich burger continental fast food desserts beverages homedelivery takeaway indoorseating expensive
Empire Restaurant & Bar,chinese,Taltala,"52, Lenin Sarani, Janbazar, Taltala, Kolkata",800,26,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese homedelivery takeaway indoorseating expensive
Cave Cafe & Lounge,"fast food, chinese, beverages",Girish Park,"238, Chittaranjan Avenue, Girish Park, Kolkata",600,46,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,fast food chinese beverages homedelivery takeaway indoorseating expensive
Coffee World Restaurant,"coffee, tea, cafe, chinese, fast food, sandwich, beverages, shake",Southern Avenue,"22/A, Cocker Lane, Southern Avenue, Kolkata",600,158,3.5999999999999996,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,coffee tea cafe chinese fast food sandwich beverages shake homedelivery takeaway indoorseating expensive
Whats in d name,"finger food, north indian, street food",Camac Street Area,"1/1, 1st Floor, Camac Street Area, Kolkata",1500,1088,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,finger food north indian street food homedelivery takeaway indoorseating expensive
Purbani Restaurant,"north indian, mughlai, chinese",Gariahat,"210/1A & B, Rashbihari Avenue, Gariahat, Kolkata",500,84,3.9000000000000004,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian mughlai chinese homedelivery takeaway indoorseating expensive
The Spice Tree,"fast food, street food",Metro Plaza Shopping Centre,"1 Hochiminh Sarani, Metro Shopping Centre, Chowringhee, Kolkata",100,89,4.0,cheapeats,homedelivery takeaway vegonly ,homedelivery takeaway vegonly cheapeats,fast food street food homedelivery takeaway vegonly cheapeats
Orko's Restaurant,"north indian, chinese, bengali, continental, beverages",Regenta Orko'ss Hotel,"621, Prantik Pally, Near Acropolis Mall, Kasba, Kolkata",1600,486,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian chinese bengali continental beverages homedelivery takeaway indoorseating expensive
TGI Fridays,"mexican, american, desserts, beverages, seafood",Elgin,"10/3, 2nd Floor, Forum Courtyard, Lala Rajpat Rai Sarani, Elgin, Kolkata",1800,3256,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,mexican american desserts beverages seafood homedelivery takeaway indoorseating expensive
Lord Fast Food Center,"chinese, north indian, rolls",Maniktala,"19A/H/2, Goabagan Lane, Maniktala, Kolkata",400,91,0.0,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,chinese north indian rolls homedelivery takeaway midrange
Ekdalia Rd.,"continental, american, asian, italian",Hindustan Park,"121/2, Dr Meghnad Saha Sarani Ward 86, Kolkata, Borough-VIII, Hindustan Park, Kolkata",900,698,3.6,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,continental american asian italian homedelivery takeaway indoorseating expensive
Ice-O-Metry,desserts,Paddapukur,"52A, Sarat Bose Road, Paddapukur, Kolkata",250,556,4.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,desserts homedelivery takeaway indoorseating midrange
Shisha - Bar Stock Exchange,finger food,Camac Street Area,"22, 5th & 6th Floor, Block D, Abanindra Nath Thakur Sarani, Camac Street Area, Kolkata",1500,1172,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,finger food homedelivery takeaway indoorseating expensive
The Tiffin Box,"rolls, chinese, north indian",New Market Area,"20A, Nellie Sengupta Sarani, Ground Floor, Ward 36, New Market Area, Kolkata",300,56,0.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,rolls chinese north indian homedelivery takeaway indoorseating midrange
N.J. Nagpal Desserts,"bakery, desserts",Behala,"Joy Krishna Paul Road, Behala, Kolkata",150,294,4.2,cheapeats,homedelivery   ,homedelivery cheapeats,bakery desserts homedelivery cheapeats
Delicious Dezires,bakery,Maniktala,"41B, Vinayak Garden, Sahitya Parishad, Simla Road, Maniktala, Kolkata",200,121,3.9,midrange,homedelivery  vegonly ,homedelivery vegonly midrange,bakery homedelivery vegonly midrange
Cin Shing Chinese Restaurant,chinese,Tangra,"119/a/1, Matheswartola Road, Ward No 66, Tangra, Kolkata",500,12,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese homedelivery takeaway indoorseating expensive
Puffs N Bites,"continental, chinese, north indian",Theatre Road,"6, 1st Floor, Picasso Bithi, Ward 63, Theatre Road, Kolkata",1000,659,3.8,expensive,homedelivery   indoorseating,homedelivery indoorseating expensive,continental chinese north indian homedelivery indoorseating expensive
Burnt Garlic,"continental, european, asian, desserts",Desapriya Park,"95, Ground Floor, Priya Cinema, Rash Behari Avenue, Desapriya Park, Kolkata",1400,1026,3.9,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,continental european asian desserts homedelivery takeaway indoorseating expensive
Masala Wok Bar+Kitchen,"chinese, north indian, beverages",Chandni Chowk,"76, 1st Floor, Hind Cinema, Ganesh Chandra Avenue, Chandni Chowk, Kolkata",1000,592,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese north indian beverages homedelivery takeaway indoorseating expensive
Kaos,"desserts, bakery",Theatre Road,"Shakespeare Sarani, Theatre Road, Kolkata",100,192,3.2000000000000006,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,desserts bakery homedelivery takeaway cheapeats
Sai Cafe,south indian,Hazra,"42B, Jatin Das Road, Hazra, Kolkata",100,72,3.4,cheapeats,homedelivery takeaway vegonly ,homedelivery takeaway vegonly cheapeats,south indian homedelivery takeaway vegonly cheapeats
Aalishan Restaurant,"kebab, north indian, bengali",Esplanade,"38, Bentinck Street, Near Paradise Cinema, Esplanade, Kolkata",600,465,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,kebab north indian bengali homedelivery takeaway indoorseating expensive
Corner Cafe,"fast food, beverages, pizza, desserts, sandwich, shake",Elgin,"236, A.J.C. Bose Road, Elgin, Kolkata",150,728,3.5,cheapeats,homedelivery takeaway vegonly ,homedelivery takeaway vegonly cheapeats,fast food beverages pizza desserts sandwich shake homedelivery takeaway vegonly cheapeats
Kim Ling,"asian, chinese",Tangra,"13, South Tangra Road, Tangra, Kolkata",900,1024,3.7,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,asian chinese homedelivery takeaway indoorseating expensive
Mezze,"mediterranean, fast food, rolls, pasta",Quest Mall,"33, Floor 4, Quest Mall, Syed Ali Amir Avenue, Ballygunge, Kolkata",600,571,4.2,expensive,homedelivery takeaway  ,homedelivery takeaway expensive,mediterranean fast food rolls pasta homedelivery takeaway expensive
